ImageLoc,Target
72,11
74,10
76,11
78,11
80,11
82,11
84,00
86,00
88,11
90,10
92,00
94,01
96,11
98,11
100,11
102,11
104,00
106,00
108,11
110,11
112,11
114,11
116,11
118,11
120,00
122,11
124,11
126,00
128,11
130,11
132,01
134,00
136,01
138,00
140,01
142,00
144,01
146,00
148,11
150,11
152,10
154,11
156,11
158,10
160,00
162,10
164,11
166,11
168,00
170,11
172,11
174,11
176,00
178,00
180,10
182,11
184,10
186,00
188,11
190,10
192,10
194,11
196,00
198,11
200,00
202,00
204,10
206,11
208,11
210,10
212,10
214,00
216,11
218,10
220,11
222,11
224,00
226,11
228,11
230,00
232,00
234,11
236,11
238,11
240,00
242,11
244,11
246,11
248,11
250,11
252,11
254,11
256,11
258,11
260,00
262,00
264,00
266,11
268,00
270,11
272,11
274,00
276,11
278,10
280,11
282,11
284,11
286,11
288,00
290,11
292,11
294,11
296,10
298,11
300,10
302,00
304,10
306,10
308,10
310,11
312,11
314,11
316,11
318,00
320,11
322,11
324,11
326,11
328,11
330,00
332,11
334,11
336,11
338,00
340,11
342,11
344,11
346,11
348,11
350,00
352,11
354,11
356,11
358,10
360,11
362,11
364,10
366,11
368,11
370,11
372,11
374,11
376,10
378,11
380,11
382,11
384,00
386,11
388,11
390,11
392,11
394,00
396,11
398,11
400,11
402,11
404,00
406,00
408,11
410,11
412,11
414,11
416,10
418,00
420,11
422,11
424,11
426,11
428,11
430,11
432,11
434,11
436,00
438,11
440,11
442,11
444,11
446,11
448,00
450,11
452,11
454,11
456,00
458,10
460,11
462,11
464,10
466,11
468,10
470,10
472,00
474,11
476,11
478,10
480,11
482,11
484,11
486,11
488,11
490,11
492,11
494,11
496,00
498,11
500,11
502,11
504,11
506,01
508,11
510,00
512,00
514,11
516,11
518,10
520,10
522,11
524,01
526,11
528,11
530,11
532,11
534,11
536,11
538,11
540,01
542,00
544,11
546,11
548,00
550,11
552,00
554,11
556,00
558,00
560,01
562,01
564,11
566,10
568,11
570,11
572,10
574,10
576,11
578,00
580,11
582,11
584,01
586,01
